NSPrivacyAccessedAPICategoryFileTimestamp	creationDate	https://developer.apple.com/documentation/foundation/fileattributekey/1418187-creationdate
NSPrivacyAccessedAPICategoryFileTimestamp	modificationDate	https://developer.apple.com/documentation/foundation/fileattributekey/1410058-modificationdate
NSPrivacyAccessedAPICategoryFileTimestamp	fileModificationDate	
NSPrivacyAccessedAPICategoryFileTimestamp	contentModificationDateKey	https://developer.apple.com/documentation/foundation/urlresourcekey/1408803-contentmodificationdatekey
NSPrivacyAccessedAPICategoryFileTimestamp	creationDateKey  	https://developer.apple.com/documentation/foundation/urlresourcekey/1410073-creationdatekey
NSPrivacyAccessedAPICategoryFileTimestamp	getattrlist	
NSPrivacyAccessedAPICategoryFileTimestamp	getattrlistbulk	
NSPrivacyAccessedAPICategoryFileTimestamp	fgetattrlist	
NSPrivacyAccessedAPICategoryFileTimestamp	stat	https://developer.apple.com/documentation/kernel/stat
NSPrivacyAccessedAPICategoryFileTimestamp	fstat	
NSPrivacyAccessedAPICategoryFileTimestamp	fstatat	
NSPrivacyAccessedAPICategoryFileTimestamp	lstat	
NSPrivacyAccessedAPICategoryFileTimestamp	getattrlistat	
NSPrivacyAccessedAPICategorySystemBootTime	systemUptime	https://developer.apple.com/documentation/foundation/processinfo/1414553-systemuptime
NSPrivacyAccessedAPICategorySystemBootTime	mach_absolute_time	
NSPrivacyAccessedAPICategoryDiskSpace	volumeAvailableCapacityKey	https://developer.apple.com/documentation/foundation/urlresourcekey/1412898-volumeavailablecapacitykey
NSPrivacyAccessedAPICategoryDiskSpace	volumeAvailableCapacityForImportantUsageKey	
NSPrivacyAccessedAPICategoryDiskSpace	volumeAvailableCapacityForOpportunisticUsageKey	
NSPrivacyAccessedAPICategoryDiskSpace	volumeTotalCapacityKey	
NSPrivacyAccessedAPICategoryDiskSpace	systemFreeSize	
NSPrivacyAccessedAPICategoryDiskSpace	systemSize	
NSPrivacyAccessedAPICategoryDiskSpace	statfs	
NSPrivacyAccessedAPICategoryDiskSpace	statvfs	
NSPrivacyAccessedAPICategoryDiskSpace	fstatfs	
NSPrivacyAccessedAPICategoryDiskSpace	fstatvfs	
NSPrivacyAccessedAPICategoryDiskSpace	getattrlist	
NSPrivacyAccessedAPICategoryDiskSpace	fgetattrlist	
NSPrivacyAccessedAPICategoryDiskSpace	getattrlistat	
NSPrivacyAccessedAPIType	activeInputModes	https://developer.apple.com/documentation/uikit/uitextinputmode/1614522-activeinputmodes
NSPrivacyAccessedAPICategoryUserDefaults		https://developer.apple.com/documentation/foundation/userdefaults